Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S00001,22,85,64,62,4.7,1
S00002,19,73,78,74,3.1,1
S00003,20,86,85,81,6.4,1
S00004,22,90,91,93,9.9,1
S00005,18,76,65,71,4.2,1
S00006,20,69,55,82,6.0,1
S00007,20,81,73,81,4.4,1
S00008,22,83,85,90,8.5,1
S00009,17,78,99,69,9.1,1
S00010,18,91,97,91,8.8,1
S00011,22,71,100,87,9.8,1
S00012,18,76,73,55,0.8,1
S00013,18,99,100,100,8.5,1
S00014,20,89,92,74,7.6,1
S00015,19,46,57,60,2.7,1
S00016,18,85,100,66,9.6,1
S00017,21,63,83,82,1.9,1
S00018,20,80,89,92,7.0,1
S00019,17,45,41,65,2.6,1
S00020,19,58,81,81,4.6,1
S00021,21,81,77,59,7.3,1
S00022,21,63,64,84,5.9,1
S00023,17,90,77,65,4.6,1
S00024,19,75,52,90,3.6,1
S00025,20,79,100,91,8.5,1
S00026,16,77,73,68,1.9,1
S00027,19,85,73,66,4.6,1
S00028,17,95,85,80,9.1,1
S00029,21,89,87,94,8.5,1
S00030,20,69,61,65,4.3,1
S00031,19,79,85,75,7.7,1
S00032,16,72,54,100,8.3,1
S00033,16,100,92,92,8.9,1
S00034,18,72,80,66,5.7,1
S00035,18,65,76,74,2.4,1
S00036,22,56,72,66,2.9,1
S00037,17,65,81,51,3.3,1
S00038,19,100,87,74,6.1,1
S00039,19,49,72,51,0.8,1
S00040,22,98,100,84,6.5,1
S00041,21,71,77,66,4.0,1
S00042,21,76,72,72,3.3,1
S00043,22,100,100,96,8.9,1
S00044,21,78,70,100,4.9,1
S00045,18,56,61,86,1.4,1
S00046,19,86,94,89,8.4,1
S00047,22,57,62,63,1.0,1
S00048,19,100,86,77,7.4,1
S00049,16,69,98,67,7.9,1
S00050,18,49,51,47,3.8,1
S00051,20,68,100,77,8.3,1
S00052,18,66,83,95,5.4,1
S00053,22,83,71,93,4.9,1
S00054,20,68,80,64,0.9,1
S00055,16,61,71,76,3.3,1
S00056,22,92,94,83,9.3,1
S00057,17,58,70,73,4.2,1
S00058,19,66,96,70,5.7,1
S00059,16,84,78,69,5.6,1
S00060,19,92,73,86,6.1,1
S00061,21,54,73,57,1.1,1
S00062,17,90,86,78,3.9,1
S00063,17,96,100,82,7.4,1
S00064,16,84,74,83,2.4,1
S00065,17,61,80,74,2.4,1
S00066,20,76,56,65,0.6,1
S00067,17,100,87,59,4.7,1
S00068,19,86,100,83,8.9,1
S00069,19,57,67,63,1.0,1
S00070,22,53,47,68,2.3,1
S00071,19,55,65,78,3.4,1
S00072,22,71,85,86,7.5,1
S00073,19,72,88,70,6.6,1
S00074,20,76,100,81,4.5,1
S00075,22,77,97,80,7.7,1
S00076,18,83,71,73,6.3,1
S00077,21,94,85,77,9.0,1
S00078,16,83,100,83,8.3,1
S00079,19,66,62,63,2.9,1
S00080,17,61,81,83,3.1,1
S00081,19,58,65,62,1.7,1
S00082,17,60,69,78,3.7,1
S00083,21,96,89,72,10.0,1
S00084,21,65,37,82,4.4,1
S00085,21,51,73,75,2.6,1
S00086,17,93,74,69,7.7,1
S00087,19,85,62,69,5.7,1
S00088,21,76,67,59,1.9,1
S00089,20,59,85,71,4.1,1
S00090,22,67,53,66,4.4,1
S00091,17,89,98,82,7.7,1
S00092,17,52,49,69,0.7,1
S00093,19,74,77,64,3.1,1
S00094,17,83,84,81,5.4,1
S00095,17,73,66,72,3.1,1
S00096,21,99,82,48,6.5,1
S00097,19,83,72,67,5.1,1
S00098,21,72,75,83,3.9,1
S00099,22,91,96,81,9.5,1
S00100,22,80,71,69,6.5,1
S00101,21,49,47,77,1.7,1
S00102,22,57,91,80,5.8,1
S00103,19,92,89,100,7.9,1
S00104,16,98,95,78,7.2,1
S00105,21,59,57,80,2.1,1
S00106,20,100,84,81,9.7,1
S00107,20,72,63,47,4.8,1
S00108,17,40,62,74,2.0,1
S00109,22,75,68,73,2.2,1
S00110,20,55,56,72,1.4,1
S00111,17,100,100,84,8.1,1
S00112,16,46,56,82,1.7,1
S00113,19,67,66,75,1.7,1
S00114,19,80,79,97,8.6,1
S00115,19,73,63,73,3.8,1
S00116,20,67,59,48,0.8,1
S00117,16,65,51,64,1.0,1
S00118,20,63,65,70,1.9,1
S00119,22,48,72,90,2.5,1
S00120,20,91,96,85,6.8,1
S00121,16,75,52,55,2.0,1
