Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
H1000,49,49293,Secondary,3,No,Urban
H1001,43,51729,Secondary,6,Yes,Urban
H1002,51,57996,Primary,3,Yes,Rural
H1003,60,57645,Post-Grad,3,No,Urban
H1004,42,28467,Graduate,3,No,Urban
H1005,42,33746,Post-Grad,6,No,Rural
H1006,60,51180,Post-Grad,5,Yes,Rural
H1007,52,51165,Graduate,4,Yes,Urban
H1008,40,51180,Graduate,4,No,Urban
H1009,50,90000,Post-Grad,6,No,Urban
H1010,40,51850,Graduate,4,Yes,Urban
H1011,40,58626,Secondary,6,No,Rural
H1012,47,56448,Secondary,4,Yes,Urban
H1013,25,52816,Primary,4,Yes,Urban
H1014,27,41216,Post-Grad,4,No,Urban
H1015,39,54107,Graduate,4,Yes,Urban
H1016,34,35726,Secondary,5,No,Rural
H1017,48,42158,Graduate,4,No,Rural
H1018,35,39175,Graduate,3,No,Urban
H1019,30,45982,Secondary,6,Yes,Urban
H1020,59,72775,Primary,4,Yes,Urban
H1021,42,22592,Graduate,4,No,Rural
H1022,45,53235,Secondary,7,Yes,Rural
H1023,30,25647,Graduate,5,No,Urban
H1024,39,39336,Secondary,3,No,Rural
H1025,46,58067,Post-Grad,7,Yes,Rural
H1026,33,45771,Graduate,5,Yes,Urban
H1027,48,32067,Graduate,4,No,Rural
H1028,38,36416,Post-Grad,3,No,Urban
H1029,42,53155,Secondary,6,No,Urban
H1030,38,36235,Primary,5,No,Urban
H1031,63,47597,Primary,4,Yes,Urban
H1032,44,45546,Graduate,6,Yes,Urban
H1033,34,37180,Graduate,6,No,Rural
H1034,53,70727,Graduate,3,Yes,Urban
H1035,32,52607,Secondary,4,Yes,Rural
H1036,47,20698,Primary,3,No,Urban
H1037,25,47237,Primary,5,Yes,Urban
H1038,31,37058,Secondary,2,No,Urban
H1039,46,55229,Graduate,5,Yes,Urban
H1040,52,35489,Secondary,6,No,Rural
H1041,46,43623,Secondary,6,No,Urban
H1042,43,51059,Post-Grad,4,Yes,Urban
H1043,41,55389,Secondary,6,Yes,Urban
