study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
11,76,Yes,93,Pass
16,75,Yes,94,Pass
16,87,No,87,Pass
12,72,No,74,Pass
10,55,Yes,61,Pass
7,65,Yes,78,Pass
6,61,Yes,86,Pass
9,78,Yes,69,Pass
7,79,Yes,68,Pass
11,70,No,74,Pass
7,100,No,77,Pass
5,87,Yes,65,Pass
10,54,No,56,Pass
10,86,Yes,89,Pass
9,74,No,59,Pass
7,72,No,80,Pass
11,56,Yes,84,Fail
8,69,No,76,Pass
14,89,No,80,Pass
8,81,No,84,Pass
8,75,No,61,Pass
5,87,Yes,91,Pass
9,90,Yes,90,Pass
7,82,Yes,95,Pass
9,96,Yes,62,Pass
13,79,Yes,88,Pass
10,54,Yes,76,Pass
11,95,Yes,87,Pass
6,71,Yes,84,Pass
11,71,Yes,90,Pass
10,89,No,73,Pass
8,73,No,57,Pass
11,81,No,80,Pass
9,61,Yes,74,Pass
8,68,Yes,76,Pass
11,100,Yes,95,Pass
11,77,No,59,Pass
9,78,No,100,Pass
9,81,No,75,Pass
5,91,Yes,86,Pass
13,67,Yes,100,Pass
4,85,No,89,Fail
6,71,No,68,Pass
7,59,No,66,Pass
5,83,Yes,67,Pass
16,68,Yes,91,Pass
13,63,No,81,Pass
15,58,Yes,91,Pass
11,87,No,69,Pass
4,84,No,70,Fail
11,82,Yes,81,Pass
10,81,No,71,Pass
17,83,Yes,88,Pass
12,66,Yes,93,Pass
14,68,Yes,100,Fail
11,87,No,100,Pass
9,68,Yes,71,Pass
6,77,No,72,Fail
11,87,Yes,90,Pass
15,74,Yes,100,Pass
12,67,No,67,Pass
11,75,No,85,Pass
11,77,Yes,78,Pass
3,72,Yes,78,Fail
10,63,No,74,Fail
11,67,Yes,85,Pass
10,64,No,76,Fail
12,90,Yes,100,Pass
4,66,Yes,74,Pass
12,84,No,100,Pass
12,91,Yes,100,Pass
12,74,Yes,95,Pass
6,75,No,63,Pass
10,100,Yes,73,Pass
12,58,Yes,78,Pass
14,78,No,74,Pass
7,86,No,66,Pass
10,78,Yes,78,Pass
18,85,Yes,83,Pass
10,70,Yes,91,Pass
6,76,Yes,81,Pass
13,63,Yes,83,Pass
8,70,No,88,Pass
11,62,Yes,91,Pass
18,90,Yes,89,Pass
8,93,No,70,Pass
11,87,Yes,80,Pass
9,40,No,53,Pass
8,63,Yes,93,Pass
4,72,No,64,Pass
15,60,No,93,Pass
10,66,No,78,Pass
10,70,Yes,83,Pass
8,79,No,80,Pass
16,63,Yes,100,Pass
2,76,No,66,Pass
11,70,Yes,82,Pass
8,70,No,79,Fail
11,69,Yes,93,Pass
11,87,No,88,Pass
6,71,No,74,Fail
12,77,No,82,Pass
15,70,Yes,98,Pass
9,75,Yes,93,Pass
13,87,Yes,100,Fail
10,86,Yes,84,Pass
11,76,Yes,87,Pass
12,68,No,99,Fail
5,63,No,74,Pass
13,85,Yes,99,Pass
9,67,No,72,Pass
7,89,No,73,Pass
6,74,Yes,80,Pass
7,68,No,70,Fail
10,71,Yes,78,Fail
10,60,Yes,65,Pass
7,75,No,73,Pass
15,88,Yes,96,Pass
9,65,No,71,Pass
8,81,No,66,Pass
12,96,Yes,93,Pass
11,86,Yes,85,Pass
10,78,Yes,86,Pass
6,78,Yes,82,Pass
15,89,No,100,Pass
6,88,Yes,82,Pass
18,68,Yes,90,Pass
7,52,No,58,Fail
6,79,Yes,81,Pass
17,89,Yes,96,Pass
6,83,No,57,Fail
17,92,Yes,98,Pass
3,94,No,67,Pass
14,58,Yes,81,Fail
10,78,No,72,Pass
12,65,No,76,Pass
10,84,No,86,Pass
5,59,Yes,82,Pass
11,69,Yes,100,Pass
10,92,Yes,90,Pass
18,99,No,97,Pass
13,85,Yes,100,Pass
6,86,No,82,Fail
2,63,No,36,Pass
8,86,No,90,Pass
10,97,Yes,77,Pass
3,77,No,66,Pass
9,53,No,67,Pass
4,86,No,71,Pass
6,71,Yes,64,Pass
9,89,No,68,Pass
12,71,No,71,Pass
9,65,Yes,73,Pass
5,100,Yes,82,Pass
7,80,No,70,Fail
9,85,No,85,Pass
7,71,Yes,74,Pass
1,59,No,67,Fail
16,75,Yes,100,Pass
11,100,Yes,100,Pass
9,66,No,55,Fail
10,68,No,60,Fail
7,65,Yes,92,Pass
13,77,Yes,100,Pass
10,67,No,89,Pass
12,65,No,75,Pass
6,61,No,73,Pass
17,61,No,91,Pass
7,72,Yes,71,Pass
6,78,No,61,Pass
11,77,No,76,Pass
6,71,Yes,82,Pass
12,66,Yes,86,Pass
13,57,No,82,Pass
7,84,No,65,Pass
2,58,No,55,Pass
11,67,No,82,Pass
3,77,No,50,Pass
7,78,No,62,Pass
8,90,Yes,79,Pass
13,64,No,84,Pass
15,48,Yes,78,Pass
12,75,Yes,92,Pass
7,79,Yes,78,Pass
14,81,Yes,97,Pass
8,72,No,67,Pass
11,72,No,80,Pass
18,88,Yes,100,Pass
14,73,No,63,Pass
5,55,Yes,64,Fail
10,98,No,86,Pass
9,87,Yes,63,Pass
10,87,Yes,73,Pass
14,82,Yes,90,Pass
12,100,No,89,Pass
10,72,No,67,Pass
13,67,Yes,88,Pass
8,83,Yes,86,Pass
14,71,Yes,88,Pass
6,72,No,71,Pass
