ID,Physics,Chemistry,Biology,Geography,Arts,Total_Score,Performance
S001,61,94,75,89,56,375,High
S002,74,53,82,49,63,321,Low
S003,64,48,35,75,40,262,Low
S004,96,97,46,43,97,379,High
S005,90,72,64,65,86,377,High
S006,72,38,86,83,98,377,High
S007,68,72,83,42,49,314,Low
S008,89,84,97,84,76,430,High
S009,70,54,87,42,38,291,Low
S010,81,53,78,87,82,381,High
S011,96,57,85,85,93,416,High
S012,47,64,99,48,47,305,Low
S013,59,99,63,50,49,320,Low
S014,66,43,63,93,91,356,High
S015,86,44,87,62,96,375,High
S016,35,84,46,83,75,323,Low
S017,90,57,85,81,50,363,High
S018,97,35,46,65,42,285,Low
S019,78,44,51,88,75,336,Low
S020,84,75,59,57,56,331,Low
S021,83,42,94,87,66,372,High
S022,45,80,65,56,79,325,Low
S023,95,49,84,99,42,369,High
S024,94,45,45,79,44,307,Low
S025,94,38,45,75,79,331,Low
S026,79,72,52,97,56,356,High
S027,87,58,37,41,77,300,Low
S028,56,76,64,59,39,294,Low
S029,97,81,57,84,73,392,High
S030,87,39,47,85,82,340,Low
S031,93,49,44,62,67,315,Low
S032,96,62,42,72,39,311,Low
S033,68,68,44,99,92,371,High
S034,80,40,90,55,53,318,Low
S035,59,90,79,72,66,366,High
S036,53,57,96,66,55,327,Low
S037,90,53,52,90,93,378,High
S038,62,90,69,44,90,355,High
S039,97,87,92,48,42,366,High
S040,53,90,65,48,72,328,Low
S041,97,42,59,86,64,348,Low
S042,91,48,84,48,99,370,High
S043,77,66,45,49,80,317,Low
S044,93,87,48,37,51,316,Low
S045,42,51,50,49,79,271,Low
S046,53,97,85,98,49,382,High
S047,54,89,82,60,86,371,High
S048,54,48,43,86,48,279,Low
S049,37,84,36,99,90,346,Low
S050,67,71,53,96,43,330,Low
S051,70,97,60,62,85,374,High
S052,68,77,96,73,85,399,High
S053,94,36,49,77,52,308,Low
S054,56,42,97,67,40,302,Low
S055,55,40,97,47,60,299,Low
S056,38,83,94,43,66,324,Low
S057,42,50,54,81,36,263,Low
S058,55,43,55,64,78,295,Low
S059,48,43,37,55,80,263,Low
S060,51,49,36,62,99,297,Low
S061,75,92,88,55,70,380,High
S062,49,59,77,42,93,320,Low
S063,64,37,70,69,52,292,Low
S064,35,90,88,96,52,361,High
S065,83,57,91,97,59,387,High
S066,77,45,63,37,61,283,Low
S067,82,83,68,59,71,363,High
S068,39,97,68,74,95,373,High
S069,41,72,53,82,67,315,Low
S070,60,92,48,44,37,281,Low
S071,72,71,75,88,72,378,High
S072,84,78,67,95,69,393,High
S073,58,83,55,90,76,362,High
S074,40,51,91,41,74,297,Low
S075,78,53,70,72,71,344,Low
S076,73,81,82,63,48,347,Low
S077,85,67,74,70,93,389,High
S078,73,54,84,69,41,321,Low
S079,80,99,67,79,77,402,High
S080,67,43,35,71,80,296,Low
S081,91,92,48,88,90,409,High
S082,52,58,54,80,52,296,Low
S083,53,69,47,63,59,291,Low
S084,76,83,70,92,46,367,High
S085,68,83,95,40,69,355,High
S086,36,59,60,80,72,307,Low
S087,78,57,36,92,86,349,Low
S088,45,71,72,64,92,344,Low
S089,85,83,42,93,87,390,High
S090,48,71,65,65,90,339,Low
S091,86,74,85,86,48,379,High
S092,87,62,46,92,46,333,Low
S093,58,71,51,60,64,304,Low
S094,59,86,54,71,80,350,High
S095,71,75,90,82,66,384,High
S096,65,56,59,61,62,303,Low
S097,85,67,72,37,67,328,Low
S098,48,92,70,39,48,297,Low
S099,71,64,43,61,78,317,Low
S100,39,93,41,89,35,297,Low
S101,41,69,50,65,52,277,Low
S102,83,52,39,57,45,276,Low
S103,54,56,95,48,62,315,Low
S104,96,56,86,78,53,369,High
S105,35,80,94,79,62,350,High
S106,59,42,72,36,39,248,Low
S107,83,93,51,92,93,412,High
S108,96,82,74,46,81,379,High
S109,58,91,41,79,56,325,Low
S110,71,75,58,88,50,342,Low
S111,81,67,64,55,77,344,Low
S112,68,98,70,59,59,354,High
S113,78,84,63,52,36,313,Low
S114,58,77,42,58,45,280,Low
S115,43,53,41,99,99,335,Low
S116,64,52,96,52,43,307,Low
S117,63,79,47,91,41,321,Low
S118,92,81,52,72,82,379,High
S119,85,51,58,78,98,370,High
S120,79,70,36,44,44,273,Low
S121,83,98,84,99,71,435,High
S122,76,49,46,86,80,337,Low
S123,35,96,54,42,78,305,Low
S124,73,77,48,50,46,294,Low
S125,94,39,57,48,45,283,Low
S126,59,64,52,63,54,292,Low
S127,81,76,70,87,74,388,High
S128,84,46,84,59,94,367,High
S129,99,86,66,75,72,398,High
S130,62,81,56,83,84,366,High
S131,71,51,65,84,97,368,High
S132,67,86,92,92,72,409,High
S133,98,44,68,66,63,339,Low
S134,60,54,84,57,65,320,Low
S135,71,85,93,64,87,400,High
S136,82,53,70,40,56,301,Low
S137,44,97,39,83,49,312,Low
S138,64,59,78,46,59,306,Low
S139,77,84,45,90,82,378,High
S140,69,47,72,49,91,328,Low
S141,95,76,75,51,64,361,High
S142,63,42,99,47,51,302,Low
S143,47,45,35,45,49,221,Low
S144,58,64,85,67,56,330,Low
S145,53,74,47,36,68,278,Low
S146,55,48,36,36,47,222,Low
S147,77,45,96,57,96,371,High
S148,84,72,48,79,79,362,High
S149,45,97,78,93,40,353,High
S150,80,54,84,77,50,345,Low
S151,36,70,78,61,97,342,Low
S152,81,89,55,46,48,319,Low
